song_name,tabs
Joker And The Thief,"C5,D5,F5,G5,D5,F5,G5,D5,F5,G5,D5,D5,F5,G5,D5,D,C,D,C,F,G,D5,D5,F5,G5,D5,D5,F5,G5,D5,D,C,D,C,F,G,D,C,F,G,D,C,F,G,D5,F5,G5,D5,D5,F5,G5,F5,G5,F5,G5,D5"
Fake It,"C,D#,Bb,F,D#,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,C,D#,Bb,C,D#,F,C,D#,Bb,C,D#,Bb,F,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,C,D#,Bb,C,D#,F,C,D#,Bb,C,D#,Bb,F,D#,Bb,C,D,C,E,F#,Bb,C,D#,Bb,F,D#,C,D#,Bb,C,D#,Bb,C,D#,Bb,C,D#,F,G,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,D#,C,D#,Bb,F,C,D#,Bb,C,D#,F,C,D#,Bb,C,D#,Bb,F,C,D#,Bb,C,D#,F,C,D#,Bb,C,D#,Bb,F,C"
Face Down,"G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#,G#m,G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#,G#m,E,B,F#"
Paralyzer,"Em,Em,A,G,Em,F#,Em,F#,Em,F#,Em,Em,G,Em,A,G,Em,A,G,Em,Em,F#,Em,F#,Em,F#,Em,Em,Em,A,G,Em,A,G,Em,Em,A,G,Em,A,G,Em,Em,A,G,Em,A,G,Em,A,G,Em,A,G,Em"
Megalomaniac,"Gm,G,Bb,Eb,Cm,C7,Dm,C,F,Gm,Bb,Eb,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Cm,Eb,G,Eb,Cm,G,Cm,Eb,G,Eb,Cm,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,Cm,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Eb,Cm,G,Cm,Eb,G,Eb,Cm,G,Cm,Eb,G,Eb,Cm,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,Cm,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Dm,C,F,Dm,C,F,Dm,C,F,Dm,C,F,Dm,C,F,Dm,F,Dm,F,Dm,F,Gm,Bb,Eb,Cm,Gm,Bb,Eb,Cm,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7,Gm,Bb,Eb,C7"
Ocean Avenue,"F,Dm,Bb,C,Am,Dm,C,Bb,F,Dm,C,Bb,F,Dm,F,Bb,Am,Gm,Dm,Gm,Bb,Dm,C,Bb,F,Dm,C,Bb,Dm,Bb,Dm,Bb,Dm,Bb,Dm,Bb,Bb,G,C,D,Bm,Am,D/F#,Em,C,D/F#,G,C,D,Em,C,Bm,Am,Bm,C,D,Em,C,D,Em,C,D,Em,D,Em,D,C,D,Em,D,Em,D,C,D,Em,G,Am,Bm,C,Bm,Am,Bm,C,D,Em,C,D,Em,C,D,Em,G,D/F#,C,D,Em,D,Em,D,Em,C,D/F#,G,C,D,Em,C,G,Am,Bm,C,D,Em,C,D,Em,Em,C,D/F#,G,A,D,A,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,E,F#m,D,A,F#m,E,D,A,F#m,E,D,E,F#m,D,C,Am,C,G,D/F#,F,Fm,B,Am,C,G,D/F#,Am,C,G,D/F#,F,Fm,Am,C,G,D/F#,Am,C,G,D/F#,F,Fm,C,B,Am,F,C,B,Am,F,Am,C,G,D/F#,Am,C,G,D/F#,F,Fm,C,B,Am,F,C,B,Am,F,C,B,Am,F,C,B,Am,F,C,B,Am,F,C,B,Am,F,B,B,F#,Bb,C#m,B,F#,E,G#m,F#,B,F#,E,G#m,F#,E,G,B,E,G#m,F#,B,E,G#m,F#,B,F#,E,G#m,F#,B,F#,E,G#m,F#,E,G,B,E,G#m,F#,B,E,G#m,F#,E,F#,B,F#,G#m,F#,Bb,B,B,E,G#m,F#,B,E,G#m,F#,E,E,A,B,C#m,E/G#,C,E,A,B,C#m,A,E/G#,A,B,C#m,A,E/G#,A,B,C#m,A,B,C#m,E/G#,B,C#m,A,E,B,C,C#m,A,E,B,C,E/G#,A,B,C#m,A,E/G#,A,B,C#m,A,B,C#m,E,B,C#m,A,E,B,C,C#m,A,E,B,C,D,D,A,Bm,C,Bb,A/C#,F#,Bb,E/G#,D,G,Bm,G,D,C,Em,Bb,A,G,C,Em,Em,G,D,G,D,G,D,G,Bm,A,G,D,C,Em,Bb,D,C,Em,D,E,G,D,D,E,G,D,A/C#,Bm,F#,Bb,A,E/G#,G,Em,D,D,G,D,G,D,G,Bm,A,G,D,B,B,C#m,B/Eb,A,E,F#,G#m,E,B,F#,E,F#,G#m,E,B,F#,E,F#,E,F#,B,E,B,E,C#m,B/Eb,E,F#,B,E,B,E,C#m,B/Eb,E,F#,E,F#,G#m,E,B,G#m,E,B/Eb,G#m,E,B/Eb,G#m,G#m,F#,E,G#m,F#,E,G#m,F#,E,G#m,F#,E,G,Am,C,C9,D/F#,G,C9,Am,C9,G,C9,B,Am,G,Am,C,G,D,G,Am,C,G,D,G,C9,Am,C9,G,C9,Am,C9,G,Am,C,G,D,G,Am,C,G,D,C,D,G,C9,Em,C9,G,C9,Em,C,G,C9,Am,C9,G,C,Am,C9,G,Am,C,G,D,G,Am,C,G,D,C9,D,Em,D/F#,C,Em,D/F#,C,Em,D/F#,C,D,G,Am,Em,C,G,Am,Em,C,Em,D/F#,C,Em,D/F#,C,Em,D/F#,C,D,D,A,Bm,A/C#,D/F#,D,Em,Bm,G,D,Em,Bm,G,G,D,A/C#,Bm,Em,G,Em,D/F#,G,A,D,Em,Bm,G,Bm,A,D,G,G,D,A/C#,Bm,Em,G,Em,D/F#,G,A,D,Bm,D,Bm,G,G,D,A/C#,Bm,Em,G,Em,D/F#,G,A,A,A/C#,D,A,E/G#,D/F#,A/C#,D,E,A/C#,D,E,A,D,A,E,A/C#,D,E,D,E,F#m,E/G#,D,E,F#m,D,A,E,A/C#,D,A,E,A/C#,D,A,E,A,D/F#,E/G#,A/C#,D,E,F#m,D,A,E,F#m,D,A,E,A,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,G,G,D,Em,C9,G,D,Em,D,G,D,Em,G,C,G,C9,D,G,D,Em,G,C,G,C9,D,Em,D,C,D,Em,G,C,D,Em,D,C,D,Em,G,C,D,G,D,Em,C9,G,D,Em,D,G,D,Em,G,G,D,Em,D,G,G,D,Em,D,G,D,Em,D,Bm,A,D,D/F#,A/C#,C,D,A/C#,G,D,A/C#,G,A,G,A,G,D,G,D,G,A,C,A/C#,G,D,A/C#,G,D,A/C#,G,A,G,D/F#,G,D,G,D,G,A,C,A/C#,G,D,D,Bm,A,G,F#m,Bm,D,G,F#m,Bm,D,G,F#m,Bm,D,G,D/F#,D,D,G,D,G,A,G,A/C#,G,D,G,D,G,A,C,A/C#,G,D,D"
Through Glass,"C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,A,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em,C,D,Em"
Teenagers,"E,B,A,E,B,E,E,B,A,E,B,E,E,E,B,A,E,B,E,E,B,A,E,B,E,E,E,B,A,E,B,E,A,E,A,B,E,E,E,B,A,E,B,E,E,E,B,A,E,B,E"
"""Dear Maria","Bm,G,D,A,D,G,Em,A,D,G,Em,A,A/Bb,Bm,G,D,A,Bm,G,D,A,D,G,Em,A,D,G,Em,A,A/Bb,Bm,G,D,A,Bm,G,D,A,D,A,F#m,G,G,A,D,A,F#m,G,G,A,D,A,F#m,G,G,G,A,D,A,F#m,G,Bm,G,D,A,Bm,G,D,A"
Misery Business,"Em,D,Em,C,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,G,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,D,Em7,Em7,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,Cadd9,C,G,D,Em,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,D,G,D,Cadd9,Em7,G,D"
First Date,"C,D,F,G,C,G,F,C,G,F,C,G,F,C,G,F,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,D,F,G,C,G,F,C,G,F,C,G,F,C,G,F,C,E,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G,C,B,A,F,G"
Boulevard of Broken Dreams,"Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,C,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,C,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Fm,Ab,Eb,Bb,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,Eb,Fm,Db,Ab,C"
How You Remind Me,"Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Eb,Bb6sus2,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bb5,Eb5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Fsus2,Bb5,Ebsus2,Csus2,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bb5,Eb5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Fsus2,Bb5,Ebsus2,Csus2,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Eb,Bb6sus2,Csus2,Bbsus2,Bbsus4/Eb,Csus2,Bb5,Eb5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Eb5,Bb5,F5,C5,Fsus2,Bb5,Ebsus2,Csus2,Csus2,Bbsus2,Bbsus4/Eb,Eb,Bb6sus2,C5,Eb5,Bb5,F5,Fsus2,Ebsus2"
Bring Me To Life,"E5,E5,C5,E5,C5,B5,E5,A5,D5,C5,B5,E5,A5,D5,C5,B5,E5,C5,E5,C5,B5,G5,A5,G5,F#5,E5,G5,A5,G5,F#5,E5,E5,F#5,G5,B5,C5,B5,A5,B5,B5,A5,G5,A5,G5,A5,C5,B5,C5,B5,A5,B5,B5,A5,G5,A5,G5,A5,C5,B5,E5,C5,E5,C5,B5,G5,A5,G5,F#5,E5,E5,F#5,G5,B5,G5,A5,G5,F#5,E5,E5"
Sex on Fire,"E,C#m,E,E,C#m,C#m,E,E,C#m,C#m,E,C#m,A,E,E,C#m,C#m,E,E,C#m,A,E,C#m,A,E,C#m,A,E,E,C#m,C#m,E,E,C#m,C#m,C#m,E,C#m,A,E,C#m,A,E,C#m,A,E,C#m,A,E,C#m,A,E"
Higher,"D5,G5,A5,G5,D5,G5,D5,D5,G5,D5,G5,D5,G5,D5,G5,G5,D5,G5,D5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,D5,A5,G5,A5,D5,G5,D5,G5,D5,G5,D5,G5,D5,G5,D5,G5,G5,D5,G5,D5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5,D5,A5,G5,A5"
Can't Stop,"Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,G,D,Bm,C,G,D,Bm,C,G,D,Bm,C,G,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,G,D,Bm,C,G,D,Bm,C,G,D,Bm,C,G,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C,Em,D,Bm,C"
Numb,"Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,G,C,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,G,C,D,Em,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,D/F#,G,Bm7,C,D,B,Bsus4,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D"
Smooth Criminal,"Am,C,G,Am,F,F,G,F,F,F,G,F,F,F,G,F,F,F,Esus4,E,Am,G,F,G,Am,G,F,E,Am,G,F,G,Am,G,F,E,F,F,G,F"
Island In The Sun,"Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,D,G,D,G,C,Am,D,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,D,G,D,G,C,Am,D,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G,Em,Am,D,G"
Chop Suey!,"Gm,Am,F,Eb,Gm,F#m,Bb,Am,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,Eb,Bb,Eb,Gm,Eb,Bb,Eb,Gm,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,F#m,Gm,Gm,Eb,Bb,Eb,Gm,Eb,Bb,Eb,Gm,Eb,Bb,Eb,Gm,Eb,Bb,Eb,Gm,Gm,F#m,Gm,Fm,Gm,Fm,Gm,Fm,Gm,F#m,Bb,Am,Gm,F#m,Bb,Am,Gm,Eb,Bb,Eb,Gm,Em,Bb,Eb,Gm,Eb,Bb,Eb,Gm,Gm,Eb,Bb,Eb,Gm,Gm,Eb,Bb,Eb,Gm,Gm,Eb,Bb,Eb,Gm"
In Too Deep,"E,A,E,A,E5,A5,D5,G#5,F#5,B5,C5,E,A,E,A,E,A,E,A,E,A,E,A,E,A,E,A,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,D5,A5,E5,A5,E5,A5,E5,G#5,A5,E5,G#5,A5,G#5,A5,E5,G#5,A5,E5,G#5,A5,G#5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,D5,A5,E5,D5,A5,E5,E5,E5,F#5,D5,A5,E5,F#5,A5,B5,E5,F#5,A5,B5,E5,F#5,A5,B5,E5,F#5,A5,B5,E5,F#5,A5,B5,E5,F#5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,A5,E5,D5,A5,E5,D5,A5,C5,E5,D5,A5,E5,D5,A5,C5,E5,D5,A5,C5,E5,D5,A5,C5,E5,E5,E5"
Kryptonite,"Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,Asus2,G,Bm,Asus2,G,Bm,Asus2,G,Bm,Asus2,G,Bm,Asus2,G,Bm,A,G,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm,G6,Asus2,Bm,Em,F#m,Bm"
The Kill (Bury Me),"C,D,E,B,C,D,E,B,C,D,E,B,C5,D5,E5,B5,C,D,E,B,C,D,E,B,C5,D5,C,D,E,B,Am,B5,Em,Em,C,D,E,F#,G,A,C,B,D,E,D,C,D,E,E,E,E,C5,D5,C,D,C,D,E,B"
Jerk It Out,"G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,G#m,B,F#,E,E,G#m,F#,G#m,E,G#m,F#,G#m,B,F#,E,G#m,B,F#,E"
Uprising,"D5,D5,D5,D5,Dm,Gm,F,A,Gm,F,A/C#,Dm,Gm,F,Ab5,A,Gm,F,A/C#,D5,D5,D5,D5,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm,Gm,F,A,Gm,F,Dm"
Blurry,"C,D,Dsus,Em,E7,E7sus,Esus,E,C#add9,D#add9,C#add9,D#add9,C#add9,D#add9,Esus,E,C,Dsus,D,Em,E7,E7sus,E7,C,Dsus,D,Esus,E,C#add9,D#add9,C#add9,D#add9,C#add9,D#add9,Esus,E,C#add9,D#add9,Esus,E,Esus,E,C,Dsus,D,Em,E7,E7sus,E7,C,Dsus,D,Esus,E,C#add9,D#add9,C#add9,D#add9,C#add9,D#add9,Esus,E,C,D,Esus,E,C,D,Esus,E,C#add9,D#add9,Esus,E,Esus,E"
Gives You Hell,"E,A,F#,E,C#m,A,E,A,C#m,A,G#m,E,C#,A,E,C#,A,G#m,E,A,F#,E,C#m,A,G#m,C#m,A,A,E,C#m,A,Bm,C#m,Bm,B,E,A,E,C#m,A,E,C#m,A,E,C#m,A,E,Bm,A,E,C#m,A,C#m,A,Bm,Bm,C#m,Bm,B,E,A,Bm,C#m,A,E,G#m,E,F#m,Bm"
All My Life,"E,F#m7,E,Am,G#m7,F#m7,E,F#m7,E,Am,G#m7,F#m7,B,B7,G#m7,C#7,F#m7,B7sus,E,E7,B7,G#m7,C#7,F#m7,B7sus,D,A,E,Bm7,A,Am,G#m7,C#m7,F#m7,B7,E,F#m7,E,Am,G#m7,F#m7,B,B7,G#m7,C#7,F#m7,B7sus,E,E7,B7,G#m7,C#7,F#m7,B7sus,D,A,B7sus,D,A,A,D,A,E"
It's Been Awhile,"Asus,Cmaj7,Gmaj7,D7,Am,C,G,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,G,D7,Am,G,D7,Am,G,D7,Am,G,D7,Am,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Asus,Cmaj7,Gmaj7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,Am,C,G,D7,Asus,Cmaj7,Cmaj7,Asus,Cmaj7,Gmaj7,G"
3 Libras,"Csus2,G5,Gmadd11/Bb,Gmadd11,G,D#,G#,Csus2,Csus2,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Csus2,Emadd9,Csus2,Gsus2,Emadd9,Fsus2,Fsus2,Fadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Gsus2,Emadd9,Fsus2,Fadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Csus2,G5,Dadd9,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Gsus2,Emadd9,Fsus2,G,D#,G#,G,D#,G#,G,D#,G#,G,D#,G#,Csus2,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Emadd9,Csus2,Gsus2,Emadd9,Fsus2,Fsus2,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Gsus2,Emadd9,Csus2,Gsus2,Emadd9,Fsus2,Fadd9"
Rollin' (Air Raid Vehicle),"C#,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5,E5,B5,A5,G5,F#5,G5"
I Hate Everything About You,"F#m,G#m,E,A,D,F#m,D,F#m,D,F#m,D,F#m,D,F#m,D,E,D,F#m,D,A,E,F#m,E,A,E,F#m,D,A,E,F#m,E,A,E,F#m,D,F#m,D,F#m,D,E,D,F#m,D,A,E,F#m,E,A,E,F#m,D,A,E,F#m,E,A,E,G#m,D,F#m,E,A,E,F#m,E,F#m,F#m,D,A,E,F#m,E,A,E,F#m,D,A,E,F#m,E,A,E,F#m,D,A,E,F#m,D,A,F#m,D,A,E,F#m,E,A,E,F#m"
Savior,"Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Db,Eb,Db,Eb,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Db,Eb,Db,Eb,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Fm,Eb,Db,Eb,Fm,Eb,Db,Eb,Fm,Db,Eb,Db,Eb,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm,Ab,Db,Ab,Fm"
"""Sugar","Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G,Dm7,Am7,C,G"
The Boys of Summer,"D,C,D,C,D,C,D,C,D,C,D,C,G,D,D,C,G,D,D,C,D,C,D,C,D,C,G,D,D,C,G,D,D,C,C,C,C,D,C,D,D,C,D,C,G,D,D,C,G,D,D,C,G,D,D,C,G,D,D,C,G,G,D,D,G,G,D,D,G,G,D,D"
Youth of the Nation,"Em,D/F#,G,Am,Bm,C,Em,G,D,Bm,D,Em,G,D,Bm,D,C,G,Em,D,Em,G,Am,Em,G,Am,Em,G,Am,C,Em,G,Am,Em,G,Am,Em,G,Am,Bm,C,Em,D/F#,G,Am,Bm,C,Em,D/F#,G,Am,Bm,C,Em,D/F#,G,Am,Bm,C,Em,D/F#,G,Am,Bm,C,Em,G,D,Bm,D,Em,G,D,Bm,D,C,G,D"
September,"Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,C#7/E#,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,C#7/E#,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,Dmaj7,C#m7,Bm7,Bm7,E7,C#m7,F#m7,Bm7,E7,C#m7,F#m7,Bm7,E7,C#m7,F#m7,Bm7,E7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,C#7/E#,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#m7,Dmaj7,C#m7,Bm7,C#m7,F#,Dmaj7,C#m7,Bm7,C#m7,C#7/E#,F#m7,Bm7,E7,C#m7,F#m7,Bm7,E7,C#m7,F#m7,Bm7,E7,C#m7,F#m7"
